"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BYFLTIIU","conferencePaper","2019","Horcher, Ann-Marie; Dula, Walter","Usability is not the dark side: Secure usable design seen through star wars","Proceedings of the symposium on usable privacy and security","","","","https://www.usenix.org/sites/default/files/soups2019posters-horcher.pdf","","2019","2025-10-21 06:55:24","2025-10-21 06:55:24","2025-10-21 06:55:16","1–6","","","","","","Usability is not the dark side","","","","","USENIX Santa Clara","","","","","","","Google Scholar","","","","C:\Users\bathi\Zotero\storage\9GVJ3W7U\Horcher et Dula - 2019 - Usability is not the dark side Secure usable design seen through star wars.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HHUEVQ5L","journalArticle","2016","Yuan, Xiaohong; Yang, Li; Jones, Bilan; Yu, Huiming; Chu, Bei-Tseng","Secure software engineering education: Knowledge area, curriculum and resources","Journal of Cybersecurity Education, Research and Practice","","","","https://digitalcommons.kennesaw.edu/jcerp/vol2016/iss1/3/","","2016","2025-10-21 06:55:24","2025-10-21 06:55:24","2025-10-21 06:55:20","3","","1","2016","","","Secure software engineering education","","","","","","","","","","","","Google Scholar","","","","C:\Users\bathi\Zotero\storage\NNRKR25S\Yuan et al. - 2016 - Secure software engineering education Knowledge area, curriculum and resources.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X995XMNL","conferencePaper","2019","Chen, Hui; Ciborowska, Agnieszka; Damevski, Kostadin","Using Automated Prompts for Student Reflection on Computer Security Concepts","Proceedings of the 2019 ACM Conference on Innovation and Technology in Computer Science Education","978-1-4503-6895-7","","10.1145/3304221.3319731","https://dl.acm.org/doi/10.1145/3304221.3319731","","2019-07-02","2025-10-21 06:56:48","2025-10-21 06:56:48","2025-10-21 06:56:38","506-512","","","","","","","","","","","ACM","Aberdeen Scotland Uk","en","","","","","DOI.org (Crossref)","","","","C:\Users\bathi\Zotero\storage\E6SD2T8E\Chen et al. - 2019 - Using Automated Prompts for Student Reflection on Computer Security Concepts.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ITiCSE '19: Innovation and Technology in Computer Science Education","","","","","","","","","","","","","","",""
"TQTPAY2X","conferencePaper","2024","Viswanathan, Arun; Bailey, Brandon; Tan, Kymie; Falco, Gregory","Secure-by-component: A system-of-systems design paradigm for securing space missions","2024 Security for Space Systems (3S)","","","","https://ieeexplore.ieee.org/abstract/document/10592289/","","2024","2025-10-21 06:56:48","2025-10-21 06:56:48","2025-10-21 06:56:48","1–9","","","","","","Secure-by-component","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\bathi\Zotero\storage\HRAU66B6\Viswanathan et al. - 2024 - Secure-by-component A system-of-systems design paradigm for securing space missions.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D27I5QYW","preprint","2023","Jawad, Alvi","A Survey of the Security Challenges and Requirements for IoT Operating Systems","","","","10.48550/arXiv.2310.19825","http://arxiv.org/abs/2310.19825","The Internet of Things (IoT) is becoming an integral part of our modern lives as we converge towards a world surrounded by ubiquitous connectivity. The inherent complexity presented by the vast IoT ecosystem ends up in an insufficient understanding of individual system components and their interactions, leading to numerous security challenges. In order to create a secure IoT platform from the ground up, there is a need for a unifying operating system (OS) that can act as a cornerstone regulating the development of stable and secure solutions. In this paper, we present a classification of the security challenges stemming from the manifold aspects of IoT development. We also specify security requirements to direct the secure development of an unifying IoT OS to resolve many of those ensuing challenges. Survey of several modern IoT OSs confirm that while the developers of the OSs have taken many alternative approaches to implement security, we are far from engineering an adequately secure and unified architecture. More broadly, the study presented in this paper can help address the growing need for a secure and unified platform to base IoT development on and assure the safe, secure, and reliable operation of IoT in critical domains.","2023-10-27","2025-10-21 06:59:49","2025-10-21 06:59:49","2025-10-21 06:59:39","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2310.19825 [cs]","","C:\Users\bathi\Zotero\storage\S9XZXMUE\Jawad - 2023 - A Survey of the Security Challenges and Requirements for IoT Operating Systems.pdf","","","Computer Science - Cryptography and Security; Computer Science - Operating Systems","","","","","","","","","","","","","","","","","","","arXiv:2310.19825","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUXSBMNI","journalArticle","2017","Lindqvist, Ulf; Locasto, Michael","Building code for the internet of things","IEEE Computer Society, Washington, DC, Sept","","","","http://www.landwehr.org/2017-10-building-code-for.pdf","","2017","2025-10-21 07:03:23","2025-10-21 07:03:23","2025-10-21 07:03:19","","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\bathi\Zotero\storage\XEWNCIHJ\Lindqvist et Locasto - 2017 - Building code for the internet of things.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KXI9XR6A","conferencePaper","2024","Zhang, Yifan; Hu, Zhaojie; Wang, Xueqiang; Hong, Yuhui; Nan, Yuhong; Wang, XiaoFeng; Cheng, Jiatao; Xing, Luyi","Navigating the Privacy Compliance Maze: Understanding Risks with {Privacy-Configurable} Mobile {SDKs}","33rd USENIX Security Symposium (USENIX Security 24)","","","","https://www.usenix.org/conference/usenixsecurity24/presentation/zhang-yifan","","2024","2025-10-21 07:04:48","2025-10-21 07:04:48","2025-10-21 07:04:46","6543–6560","","","","","","Navigating the Privacy Compliance Maze","","","","","","","","","","","","Google Scholar","","","","C:\Users\bathi\Zotero\storage\HLIG6PDA\Zhang et al. - 2024 - Navigating the Privacy Compliance Maze Understanding Risks with {Privacy-Configurable} Mobile {SDKs.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33XKMQLT","journalArticle","2019","Riihelä, Lassi","Teaching information security: A systematic mapping study","","","","","https://lutpub.lut.fi/handle/10024/159739","","2019","2025-10-21 17:53:06","2025-10-21 17:53:06","2025-10-21 17:52:52","","","","","","","Teaching information security","","","","","","","","","","","","Google Scholar","","","","C:\Users\bathi\Zotero\storage\CXR8L8M5\Riihelä - 2019 - Teaching information security A systematic mapping study.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WZUKWYCU","conferencePaper","2025","Cesarano, Carmine; Natella, Roberto","KubeFence: Security Hardening of the Kubernetes Attack Surface","2025 55th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN)","","","10.1109/DSN64029.2025.00054","http://arxiv.org/abs/2504.11126","Kubernetes (K8s) is widely used to orchestrate containerized applications, including critical services in domains such as finance, healthcare, and government. However, its extensive and feature-rich API interface exposes a broad attack surface, making K8s vulnerable to exploits of software vulnerabilities and misconfigurations. Even if K8s adopts role-based access control (RBAC) to manage access to K8s APIs, this approach lacks the granularity needed to protect specification attributes within API requests. This paper proposes a novel solution, KubeFence, which implements finer-grain API filtering tailored to specific client workloads. KubeFence analyzes Kubernetes Operators from trusted repositories and leverages their configuration files to restrict unnecessary features of the K8s API, to mitigate misconfigurations and vulnerabilities exploitable through the K8s API. The experimental results show that KubeFence can significantly reduce the attack surface and prevent attacks compared to RBAC.","2025-06-23","2025-10-21 17:55:17","2025-10-21 17:55:17","2025-10-21 17:55:08","497-510","","","","","","KubeFence","","","","","","","","","","","","arXiv.org","","arXiv:2504.11126 [cs]","","C:\Users\bathi\Zotero\storage\J9W4HDI9\Cesarano et Natella - 2025 - KubeFence Security Hardening of the Kubernetes Attack Surface.pdf","","","Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PNZP7PSY","journalArticle","2024","Alnaim, Abdulrahman K.","Securing 5G virtual networks: a critical analysis of SDN, NFV, and network slicing security","International Journal of Information Security","","1615-5262, 1615-5270","10.1007/s10207-024-00900-5","https://link.springer.com/10.1007/s10207-024-00900-5","","2024-12","2025-10-21 17:55:17","2025-10-21 17:55:17","2025-10-21 17:55:10","3569-3589","","6","23","","Int. J. Inf. Secur.","Securing 5G virtual networks","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bathi\Zotero\storage\PBRA5DJY\Alnaim - 2024 - Securing 5G virtual networks a critical analysis of SDN, NFV, and network slicing security.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
