"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FDRGTUTL","bookSection","2020","Almousa, May; Keshavarz, Mahsa; Anwar, Mohd","Awareness and Working Knowledge of Secure Design Principles: A User Study","HCI for Cybersecurity, Privacy and Trust","978-3-030-50308-6 978-3-030-50309-3","","10.1007/978-3-030-50309-3_1","https://link.springer.com/10.1007/978-3-030-50309-3_1","","2020","2025-10-21 06:53:46","2025-10-21 06:53:46","2025-10-21 06:53:30","3-15","","","12210","","","Awareness and Working Knowledge of Secure Design Principles","","","","","Springer International Publishing","Cham","en","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science","","","","","","Moallem, Abbas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NYTQLVUB","book","2021","Lunkeit, Armin; Zimmer, Wolf","Security by Design: Security Engineering informationstechnischer Systeme","","978-3-662-62916-1 978-3-662-62917-8","","10.1007/978-3-662-62917-8","http://link.springer.com/10.1007/978-3-662-62917-8","","2021","2025-10-21 06:53:46","2025-10-21 06:53:46","2025-10-21 06:53:32","","","","","","","Security by Design","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","de","http://www.springer.com/tdm","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RH5G3RGE","bookSection","2020","Voorhees, David P.","Software Design and Security","Guide to Efficient Software Design","978-3-030-28500-5 978-3-030-28501-2","","10.1007/978-3-030-28501-2_24","http://link.springer.com/10.1007/978-3-030-28501-2_24","","2020","2025-10-21 06:55:24","2025-10-21 06:55:24","2025-10-21 06:55:08","351-360","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","DOI.org (Crossref)","","Series Title: Texts in Computer Science","","","","","","","","","","","Voorhees, David P.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RDD2N6LR","bookSection","2021","Daswani, Neil; Elbayadi, Moudy","The Seven Habits of Highly Effective Security","Big Breaches","978-1-4842-6654-0 978-1-4842-6655-7","","10.1007/978-1-4842-6655-7_9","https://link.springer.com/10.1007/978-1-4842-6655-7_9","","2021","2025-10-21 06:56:48","2025-10-21 06:56:48","2025-10-21 06:56:36","195-232","","","","","","","","","","","Apress","Berkeley, CA","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","Daswani, Neil; Elbayadi, Moudy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6H6RA4ZJ","bookSection","2023","Lad, Sagar","Security Processes","Azure Security For Critical Workloads","978-1-4842-8935-8 978-1-4842-8936-5","","10.1007/978-1-4842-8936-5_6","https://link.springer.com/10.1007/978-1-4842-8936-5_6","","2023","2025-10-21 06:58:13","2025-10-21 06:58:13","2025-10-21 06:57:55","135-171","","","","","","","","","","","Apress","Berkeley, CA","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","Lad, Sagar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ES7MB47D","bookSection","2017","Sánchez-Gordón, Mary-Luz; Colomo-Palacios, Ricardo; Sánchez, Alex; De Amescua Seco, Antonio; Larrucea, Xabier","Towards the Integration of Security Practices in the Software Implementation Process of ISO/IEC 29110: A Mapping","Systems, Software and Services Process Improvement","978-3-319-64217-8 978-3-319-64218-5","","10.1007/978-3-319-64218-5_1","http://link.springer.com/10.1007/978-3-319-64218-5_1","","2017","2025-10-21 06:58:13","2025-10-21 06:58:13","2025-10-21 06:57:59","3-14","","","748","","","Towards the Integration of Security Practices in the Software Implementation Process of ISO/IEC 29110","","","","","Springer International Publishing","Cham","","","","","","DOI.org (Crossref)","","Series Title: Communications in Computer and Information Science","","C:\Users\bathi\Zotero\storage\S9LK6TCJ\Sánchez-Gordón et al. - 2017 - Towards the Integration of Security Practices in the Software Implementation Process of ISOIEC 2911.pdf","","","","Stolfa, Jakub; Stolfa, Svatopluk; O'Connor, Rory V.; Messnarz, Richard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63N2IA26","bookSection","2015","Ramachandran, Muthu","Software Security Requirements Engineering: State of the Art","Global Security, Safety and Sustainability: Tomorrow's Challenges of Cyber Security","978-3-319-23275-1 978-3-319-23276-8","","10.1007/978-3-319-23276-8_28","https://link.springer.com/10.1007/978-3-319-23276-8_28","","2015","2025-10-21 06:58:13","2025-10-21 06:58:13","2025-10-21 06:58:01","313-322","","","534","","","Software Security Requirements Engineering","","","","","Springer International Publishing","Cham","en","","","","","DOI.org (Crossref)","","Series Title: Communications in Computer and Information Science","","C:\Users\bathi\Zotero\storage\37Q2HANT\Ramachandran - 2015 - Software Security Requirements Engineering State of the Art.pdf","","","","Jahankhani, Hamid; Carlile, Alex; Akhgar, Babak; Taal, Amie; Hessami, Ali G.; Hosseinian-Far, Amin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q3YDSKWL","bookSection","2024","Lincke, Susan","Planning for Secure Software Requirements and Design with UML","Information Security Planning","978-3-031-43117-3 978-3-031-43118-0","","10.1007/978-3-031-43118-0_23","https://link.springer.com/10.1007/978-3-031-43118-0_23","","2024","2025-10-21 06:58:13","2025-10-21 06:58:13","2025-10-21 06:58:05","417-445","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","Lincke, Susan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GS2WLARQ","book","2022","Howard, Michael; Curzi, Simone; Gantenbein, Heinrich","Designing and developing secure azure solutions","","","","","https://books.google.com/books?hl=fr&lr=&id=jtfPEAAAQBAJ&oi=fnd&pg=PT23&dq=%22Complete+mediation%22+AND+(%22secure+design%22+OR+%22security+by+design%22+OR+%22security+design+principle%22)&ots=MHZz5geC_y&sig=_MVhFKKuQ4_BTYqB5UIPTlVjDFs","","2022","2025-10-21 06:58:13","2025-10-21 06:58:13","2025-10-21 06:58:07","","","","","","","","","","","","Microsoft Press","","","","","","","Google Scholar","","","","C:\Users\bathi\Zotero\storage\PADNUG7K\Howard et al. - 2022 - Designing and developing secure azure solutions.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JY8RA3NW","book","2021","Kohnfelder, Loren","Designing Secure Software: A Guide for Developers","","","","","https://books.google.com/books?hl=fr&lr=&id=GlxEEAAAQBAJ&oi=fnd&pg=PR9&dq=%22Complete+mediation%22+AND+(%22secure+design%22+OR+%22security+by+design%22+OR+%22security+design+principle%22)&ots=_whVSM81CK&sig=oGSSOxi0tLnko_c3MIDWyETdRs4","","2021","2025-10-21 06:58:13","2025-10-21 06:58:13","2025-10-21 06:58:13","","","","","","","Designing Secure Software","","","","","No Starch Press","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
